id,name,jobStatus,roleType,workContract,locations,seniority,clientName,description,responsibilities,requirements,offering,jobLink,colleaguesLiProfiles,salaryRange,jobStatus
1,Business Development Manager,open,growth,fullTime,"berlin,hybrid",months0_6,FinMid,"As Business Development Manager you will be instrumental in developing and executing a multi-year, global strategic plan for finmid's relationship with its customers and end users. As a key member of finmid's team, you will be responsible for building and executing a vision that positions finmid as a key player in the global financial ecosystem, setting us up as go-to partner for software companies that are looking to enrich their offering with lending capabilities. You are responsible for acquiring customers and negotiating complex, first-of-its-kind deals with key partners for our growth.","- Develop and execute a strategic plan to acquire key customers
- Navigate and enhance existing relationships with our customers on an executive and operational level
- Ensure best-in-class, methodical deal management, rooted in lean project management
- Define clear KPIs and build alignment between finmid and our customers on opportunities of mutual interest. Leverage industry knowledge to craft and drive internal and external alignment on thoughtful strategies for forging partnerships between finmid and customers.","- 4+ years experience in Business Development; at least 2+ years experience in either software or financial services
- A proven track record of deal execution with external and internal dependencies
- A strong network in vertical SaaS, software marketplaces or horizontal SaaS
- Strategic and product creativity to collaborate with finmid's various teams to develop new models for the distribution of lending products
- Broad and deep experience executing industry-wide partnership strategies to build innovative product experiences and go to market models
- Experience negotiating commercial deals with top software companies, including scaling such deals across multiple partners","We're looking for people with passion, grit and integrity. You're encouraged to apply even if your experience doesn't precisely match the job description. We welcome diverse perspectives and people who think out of the box and aren't afraid to challenge assumptions.

- We see ourselves as “distributed first” but also have a beautiful office in Berlin where you can work
- We are flexible and cover whatever you need to be as productive as possible
- Home office stipend
- 30 days time off
- Competitive commission plan
- Meaningful equity
- Open-minded and transparent culture that includes regular get-together meetings (e.g. All Hands, Brown Bag Lunch, Offsite)",https://finmid.crew.work/jobs/61bb7a57c1e8567eb66f56c7,,,active
2,Growth Lead,open,growth,fullTime,"berlin,hybrid",years3plus,Junto,"As Growth Lead you will be responsible for Junto's marketing strategy, oversee its development and execution. This includes building and managing a scalable demand engine, conducting iterative testing across multiple channels, establishing effective feedback loops with sales and product teams, and strategically hiring and leading a marketer to foster growth before expanding the team in 2024.","- Develop and execute Junto’s marketing strategy.
- Build, manage, and drive a scalable demand engine. This includes testing and iterating on different channels through build-measure-learn loops.
- Establish consistent and rigorous feedback loops with our sales and product teams.
- Hire, lead and grow a marketer with a complementary profile before setting up a broader team in 2024.","- You have 5+ years of experience in B2B(2C) marketing in an extremely fast-paced environment. Experience with HR as a buying center is a big plus
- You have proven experience setting up a marketing function from scratch as one of the first hires in a marketing team. Ideally, you have developed a marketing function from Seed to Series B+
- You consider yourself a π-shaped marketer who is an expert in growth marketing with proficiency in content and/ or product marketing
- You have hired, led, and developed a team of 5+ people","Inspired by Diversity is one of our core values, and it is very important to us to build a diverse team to be able to live that value every day. To be able to confidently build talent acquisition strategies that can help us become a more diverse team we must first understand the demographic of the people that apply to our jobs.

- You shape the Marketing & Growth strategy of one of Europe's hottest VC-funded EdTech startups.
- You join our management team and work directly with a highly driven founding team whose members truly want to change business education for the better.
- You receive an attractive compensation package, including virtual stock options.
- You join a learning community, and we invest in your personal and professional development and want to grow together with you.
- You can work from our office in the heart of Berlin or in a hybrid set-up.
- You will be set up for success with an operating system and hardware of your choice. We want to enable you to do your best work.",https://jobs.ashbyhq.com/junto.eu/c7715bb5-d2c3-487b-aad7-5f2faef333d6,,,active
3,Growth Manager,open,growth,fullTime,"berlin,hybrid",years1_2,Hivebuy,"As Growth Manager you play a vital role as the first point of contact for prospects, guiding them from initial contact to contract signing while providing valuable support and perspective to colleagues in critical situations. You actively identify and approach potential customers, leveraging your market observations to assist marketing efforts in developing effective customer approaches.","- Daily exchange with the sales team and CEO
- You support your colleagues with your perspective in crucial situations
- First customer contact: You are the first person prospects come into contact with and take on perhaps the most important role in the process
- Once you have a full understanding of our tool, you will guide prospects from first contact to signing the contract
- You'll decide who to approach and find creative ways to make prospects aware of Hivebuy
- Get your hands dirty! We develop the best communication together and get direct feedback every day through emails and phone calls
- You observe the market and support Marketing in developing the best customer approach","- At least twelve months of sales experience and an understanding of the essence of your work. Alternatively, you have already gained experience in purchasing
- You already have relevant experience in SaaS sales, ideally with the SME target group
- You can reflect, learn from mistakes and apply your learnings
- You understand what moves people, what they really need and can confidently lead a solution-oriented conversation with them
- You have a general understanding of software and how companies use it
- At best you have already worked with Salesforce
- You are fluent in German","Our culture is based on the knowledge that we can only live up to our ambitions through trust, being proactive and bringing our own ideas to the table.

- Salary in line with the market and variable salary without upper limit
- Our goal is to make your job as easy as possible. We have a technical team to minimise all low-value activities. This way you can focus on the critical tasks
- It is the best time to join Hivebuy. You will be building the company at the most exciting stage of its development
- Rapid opportunities for advancement. We're growing fast and you'll be able to develop your experience quickly into new, exciting roles
- Whether you spend your time in the office or remotely is your choice
- A sunny workplace in the heart of Berlin
- Every day you have the choice between different drinks and snacks. In addition, we cook together and have lunch together, and you can join the Urban Sport Club
- We work together as a team at eye level and offer flat hierarchies and short communication channels",https://join.com/companies/hivebuy/8033881-growth-manager-w-m-d,,,inactive
4,Founders Associate,open,foundersAssociate,fullTime,"berlin,hybrid",months6_12,Nelly,"As Founders Associate, you will work closely with the founders and drive the strategic development of Nelly. You are essential to the success of Nelly - assessing options and opportunities to follow (and not to follow) as well as supporting the Founders in their day to day business activities.","- You will be responsible for identifying opportunities and directions for Nelly, as well as evaluating their potential and implications for the company
- You will define and drive the implementation of our commercial and product setup, including sales strategy, product strategy, and go-to-market
- You will support the founders in their day-to-day business activities
- You will generate insights on the attractiveness of both obvious and not-so-obvious sales and marketing channels.
- You will identify and lead strategic projects
- You will drive operational excellence across Nelly's functions, such as Growth, Marketing, Product, Operations, and Customer Success","- You like to take on responsibility and drive your own progress
- You demonstrate strong analytical skills and have a hands-on mentality
- You have first work experience in demanding, fast-paced environments (e. g. high-growth startups, fintechs, Big 4, investment banking, etc.)
- You have successfully finished your Bachelor or Masters studies at a top tier university
- Your judgement allows you to decide when done is better than perfect and vice versa
- You are curious and like to challenge the status-quo
- You have a high interest in fintech
- You share our culture based on an open mindset, high standards and pragmatism
- You communicate confidently in both English and German","Nelly is committed to promoting a culture of diversity, equality, and inclusion. All employment decisions are made on the basis of qualification, experience and business need.

- Competitive salary
- Top of the line working equipment
- Generous budget for learning and development activities
- 30 days of paid vacation
- Flexible working hours which includes work from home options
- Transportation ticket or option to rent a bike
- Gym membership",https://jobs.lever.co/nelly/ef832f39-7f67-49ef-ab46-a114ae42d408,,,active
5,Founders Associate,open,Founder's Associate,fullTime,"berlin,hybrid",months6_12,Phsyikit,"As Founders Associate, you will be working closely with our Co-Founder and CEO, Kilian Martin. As we continue to experience significant growth, we are seeking to expand our team by adding a Founders Associate to assist us in steering and executing key projects! The position is best suited for young professionals with background in business, management and/or sales.","- Working closely with the founders to help steer and execute key projects, providing support and contributing to the overall growth and success of our company
- Supporting the team in lead generation, prospecting, and building customer relationships and identifying the opportunities for business growth
- Contributing to the development of needed materials, presentations, proposals and coordinating meetings
- Supporting the founders in managing day-to-day operations, including project management, task prioritization, and timeline tracking
- Assisting in product management activities, including gathering customer feedback, analyzing market trends, and contributing to the development and enhancement of our offerings","- Degree in Business Administration, Management, Economics or similar fields desired
- Excellent communication skills in German and English
- Previous sales and business development experience, especially in startups, is a plus
- Proficiency in using CRM systems and sales tools is a plus
- Knowledge or interest in the healthcare industry, e-health, or telemedicine
- Practical problem-solving skills and the ability to adapt to rapidly changing priorities
- Excellent organizational and time management skills with the ability to prioritize tasks effectively
- Ability to drive topics independently, demonstrating initiative and proactively overcoming hurdles along the way","You can help shape our early-stage startup from the ground up and implement smart ideas. With a prime location in the heart of Berlin, we offer substantial creative freedom, as well as a fast-paced entrepreneurial culture. Also, we are promising you a team full of friendly people and a chance to experience an international working environment.

The position primarily requires work in Berlin, with the potential for remote work.",https://www.linkedin.com/jobs/search/?currentJobId=3640504942&f_C=80553642&geoId=92000000&originToLandingJobPostings=3640504942,,,inactive
6,Founders Associate,open,foundersAssociate,fullTime,"berlin,hybrid",months6_12,voize,"As a Founders Associate in business development, you will learn the founders' game by supporting them in business development, hiring, fundraising, partnership deals, and sales. You will work closely with the founders and talk regularly to customers. You get to take ownership over the whole work cycle, from ideation to execution, to analytics review and hearing feedback.","- Designing and executing sales pipelines (from outreach, to lead qualification, closing the deal and onboarding the user)
- Evaluating market dynamics and working with the founders to make critical business decisions
- Project management, KPI tracking
- Administrative work","- You have to be able to work in a team, communicate clearly, take ownership over your work and share feedback with your teammates
- You need to feel empathy for the user and have a deep passion for great product experiences. You will talk to users, listen to their feedback, understand their daily challenges, and translate those insights into product decisions
- You need great time management skills and be self-sufficient. Your colleges have to be able to rely on you
- You need to be able to speak German fluently (especially to talk to customers)
- You need to live in Berlin and be legally allowed to work in Germany","If you ever wanted to work at the bleeding edge of product design, applied machine learning research, and MLOps, you should apply. You get to build products with daily user feedback, train AI models on real-world data, and ship to production on a daily basis.

- voize is based in Berlin and has a remote-friendly workplace.
- We offer flexible work hours and believe that you know best when you want to work
- We have an open culture and regular team events
- As a fast-growing startup, there are new challenges daily and plenty of learning opportunities for your personal development
- Own part of the company through stock option packages",https://join.com/companies/voize/8098832-founders-associate-m-w-d-business-development-fulltime-and-german-speaking-m-w-d,,,active
7,Founders Associate,open,foundersAssociate,fullTime,"berlin,hybrid",months6_12,Forget.Finance,"As Founders Associate, you will be the trusted right hand of our Co-founder and CEO. You'll be responsible for various special projects, support our CEO with his most impactful challenges and ensure frictionless daily operations. If you are an empathetic and curious team player passionate about creating impact by building a product that changes people's lives for the better, this role is perfectly tailored for you. ","- Business Development & Sales: Proactively searching for channels to nurture growth and achieve attractive unit economics
- Financial modelling & budgeting: Responsibility for managing the runway, having a broad understanding of our overall business economics and being able to conclude how specific activities might impact important KPIs
- Talent acquisition & HR: Setting up all HR initiatives from scratch, spearheading all of our recruiting activities, conducting interviews, and setting up processes & tools
- Accounting & Reporting: Making sure we have a clear picture of our current financial situation at any time
- Strategy: Support the founders in strategy workshops, providing them with the necessary data and proactively adding value with whatever might be relevant in the specific situation
- Admin: Be the Go-To-Person for the entire team in case they have questions or inquiries
- Generally, do whatever it takes to support the founders with running the business and making them a better version of themselves","- You have an excellent university degree; your field of study is irrelevant
- If you have successfully gained first experience in a venture-backed start-up (stage irrelevant), management consulting, or investment banking, your chances of thriving in this position are very high
- You are entrepreneurial - if you're planning to found a start-up yourself, this is your chance to do a dry run
- You have a very analytical and data-driven mindset
- You are highly structured and maintain a hands-on work approach
- You show strong ownership, independence, and a high level of commitment
- Your German and English communication skills are outstanding
- You are proactive and want to learn new skills quickly on the go","At Forget Finance, we build a personal finance coach that manages your entire financial life. We empower everyone to worry less about finance and realize more of their dreams. That’s why our personalized guidance, automated savings, and investments allow you to structure your money with ease and focus on your true passions.

- Startup experience paired with a very strong feedback culture
- An experienced founding team with AAA founders, that you can complement perfectly with your skills
- A LOT of experience & trust to assume your own projects from day one
- Depending on your previous experience and your success in this role, we will put you on the fast track to our Chief of Staff position
- Kreuzberg office including gym in the basement & shower
- Above-average salary and company shares
- Monthly bonus to boost your Forget Finance account",https://forget.jobs.personio.de/job/1130927?display=en,,,active
8,Founders Associate,open,foundersAssociate,fullTime,"berlin,hybrid",years2_3,HonestDog,"As Founders Associate (CMO/Co-Founder Demand) you will establish HonestDog as the most trusted brand for finding and caring for pets, while developing and implementing our brand and marketing strategy and setting up effective marketing systems with a hands-on approach and openness to seeking additional support.","- As a first few team members, everything is in scope, it will be a lot of hands-on work
- Go deep into the buyers need and shape our product for them
- Develop and implement our brand and marketing strategy
- Scale buyers and increase app traffic through SEA, SEO, social media
- Develop our content strategy
- All things performance marketing
- There is a lot of work to do and a lot to learn, therefore, a hands-on and can-do attitude is critical. The role will also evolve as we grow, we hope you are excited about this journey as much as we are!","- 2+ years of experience and worked in an early stage start-up, preferably with a consumer angle in marketing/branding
- You feel comfortable with ambiguity and enjoy participating in the early phase (be able to wear many hats)
- You have excellent writing and communication skills (you like playing with words)
- You have to love dogs or fall in love eventually :)
- You are fluent in German and English
- Ideally, located in Berlin, or plan to move","As one of our first team members, you will get the chance to shape foundational company decisions from scratch: product, tech stack, hiring, brand, company culture, etc. Joining so early can be scary - but also highly rewarding. This could become the most exciting time in your career. This is your opportunity to shape a company with your values and footprint.

- Be one of the first to make HonestDog great
- An extremely competitive compensation package (Salary + Equity)
- We'll help you move to our hub in Berlin
- Flexible working hours and at least 25 days of paid vacation per year
- Regular team events and offsites",https://www.honestdog.de/join-us,,,active
9,Founders Associate,open,Founder's Associate,fullTime,"berlin,hybrid",months6_12,Narratic,"We are at the dawn of an exciting journey and are searching for a dynamic, motivated, and proactive individual to take the reins on pivotal projects. Being a part of a tight-knit team, you’ll work closely with the founders. As our first business hire, we'll involve you in all key initiatives, and you'll have a significant impact on the direction of the company.","- Building new customer acquisition funnels: ads/content/outbound, landing pages, CRM integration, follow-up email sequences
- Establishing partnerships with podcasts, lead sources, conferences, influencers, and meetups
- Developing automations and scalable processes (e.g., with Zapier)
- Creating a knowledge center to assist users on their journey with our product
- Supporting us in our upcoming funding round
- Interviewing potential customers to develop a robust product roadmap","- You are currently pursuing a Bachelor's or Master's degree in business, economics, business informatics, business psychology, or a related field
- You have a a proactive, can-do attitude
- You possess strong analytical and problem-solving skills
- You excel through written and verbal communication skills in English; proficiency in German is a plus
- Attention to detail while maintaining a focus on the larger picture comes naturally to you
- You are able to multitask and quickly adapt to new challenges
- You are passionate about early-stage startups, AI, and e-commerce technology
- You can work full-time during the internship period (dates are flexible)","Narratic Labs encourages female entrepreneurs and people from marginalized groups to apply! Yes, we are currently three white male but our female friends will testify that we are making a serious effort to change that. We don't believe in quotas but we believe that diversity makes better companies.

- The chance to make a tangible impact, experience a rapid learning curve, and take on as much responsibility as you can handle
- Full ownership for projects, especially in the areas of growth, marketing, and sales
- Regular interaction with founders and in-depth insights into the early stages of a tech startup
- The flexibility to work from our office in the heart of Berlin Kreuzberg or remotely
- The opportunity to expand your personal network within the AI and startup sectors",https://narratic.notion.site/Founders-Associate-c43cf2313a53430c9a003627f9582c89,,,inactive
10,Founders Associate,open,Founder's Associate,fullTime,"berlin,hybrid",months0_6,Taktile,"As Founders Associate, you'll work closely with the CEO to establish strong foundations, enhance processes, and drive innovation. Your role involves overseeing talent onboarding, operations, and employee retention with a hands-on, entrepreneurial mindset, requiring experience in strategy consulting or startups.","- Design and drive powerful people processes across the entire employee lifecycle (from visa processes over onboarding, retention to off-boarding) and implement and master all necessary IT systems
- Actively manage and enhance our finance processes (e.g. quarterly accounting, payroll, expenses, taxes) and build up a finance team to master these processes
- Implement and track meaningful organization-wide KPIs, which help build our path towards Series B
- Support the founders in their day to day business
- Identify and lead strategic projects","- You have successfully finished your Bachelor or Masters studies at a top tier university
- You have first work experience in demanding, fast-paced environments (e. g. high-growth startups, fintechs, strategy consulting, investment banking, etc.)
- You like to take on responsibility and drive your own progress
- You demonstrate strong analytical skills and have a hands-on mentality
- Your judgment allows you to decide when done is better than perfect and vice versa
- You are curious and like to challenge the status-quo
- You are fluent in English and in German","We seek to actively recognize and combat racism, sexism, ableism and ageism. We embrace and support all gender identities and expressions, and celebrate love in its many forms. We won't inquire about how you identify or if you've experienced discrimination, but if you want to tell your story, we are all ears.

- Receive top-of-market equity and cash compensation
- Get access to a self-development budget that you can use to e.g. attend conferences, buy books or take classes
- Join us onsite in our inspiring office space in the heart of Berlin or work fully remote and travel to bi-yearly company-wide meetings around the world
- Make an impact and meaningfully shape an early-stage company
- Experience a truly flat hierarchy. Interact with and learn directly from founding team members. Having an opinion and voicing your ideas is not only welcome but encouraged, especially when they challenge the status quo
- Use the equipment of your choice including a meaningful home office set-up",https://taktile-gmbh-1.jobs.personio.com/job/1154098?display=de,,,inactive
